Complexity metrics,sábado, 4 dez 2021 22:17:09 GMT
Method,CogC,ev(G),iv(G),v(G)
"org.jabref.logic.layout.format.LatexToUnicodeFormatterTest.formatExample()",0,1,1,1
"org.jabref.logic.layout.format.LatexToUnicodeFormatterTest.keepUnknownCommandWithArgument()",0,1,1,1
"org.jabref.logic.layout.format.LatexToUnicodeFormatterTest.keepUnknownCommandWithEmptyArgument()",0,1,1,1
"org.jabref.logic.layout.format.LatexToUnicodeFormatterTest.keepUnknownCommandWithoutArgument()",0,1,1,1
"org.jabref.logic.layout.format.LatexToUnicodeFormatterTest.preserveUnknownCommand()",0,1,1,1
"org.jabref.logic.layout.format.LatexToUnicodeFormatterTest.testAcuteNLongVersion()",0,1,1,1
"org.jabref.logic.layout.format.LatexToUnicodeFormatterTest.testAcuteNShortVersion()",0,1,1,1
"org.jabref.logic.layout.format.LatexToUnicodeFormatterTest.testApostrophC()",0,1,1,1
"org.jabref.logic.layout.format.LatexToUnicodeFormatterTest.testApostrophN()",0,1,1,1
"org.jabref.logic.layout.format.LatexToUnicodeFormatterTest.testApostrophO()",0,1,1,1
"org.jabref.logic.layout.format.LatexToUnicodeFormatterTest.testChi()",0,1,1,1
"org.jabref.logic.layout.format.LatexToUnicodeFormatterTest.testCombiningAccentsCase1()",0,1,1,1
"org.jabref.logic.layout.format.LatexToUnicodeFormatterTest.testCombiningAccentsCase2()",0,1,1,1
"org.jabref.logic.layout.format.LatexToUnicodeFormatterTest.testConversionOfOrdinal1st()",0,1,1,1
"org.jabref.logic.layout.format.LatexToUnicodeFormatterTest.testConversionOfOrdinal2nd()",0,1,1,1
"org.jabref.logic.layout.format.LatexToUnicodeFormatterTest.testConversionOfOrdinal3rd()",0,1,1,1
"org.jabref.logic.layout.format.LatexToUnicodeFormatterTest.testConversionOfOrdinal4th()",0,1,1,1
"org.jabref.logic.layout.format.LatexToUnicodeFormatterTest.testConversionOfOrdinal9th()",0,1,1,1
"org.jabref.logic.layout.format.LatexToUnicodeFormatterTest.testConversionOfUnderscoreWithBraces()",0,1,1,1
"org.jabref.logic.layout.format.LatexToUnicodeFormatterTest.testDoubleCombiningAccents()",0,1,1,1
"org.jabref.logic.layout.format.LatexToUnicodeFormatterTest.testEquationsMoreComplicatedFormatting()",0,1,1,1
"org.jabref.logic.layout.format.LatexToUnicodeFormatterTest.testEquationsSingleSymbol()",0,1,1,1
"org.jabref.logic.layout.format.LatexToUnicodeFormatterTest.testEscapedDollarSign()",0,1,1,1
"org.jabref.logic.layout.format.LatexToUnicodeFormatterTest.testFormatTextit()",0,1,1,1
"org.jabref.logic.layout.format.LatexToUnicodeFormatterTest.testFormatUmlaut()",0,1,1,1
"org.jabref.logic.layout.format.LatexToUnicodeFormatterTest.testIWithDiaresis()",0,1,1,1
"org.jabref.logic.layout.format.LatexToUnicodeFormatterTest.testIWithDiaresisAndEscapedI()",0,1,1,1
"org.jabref.logic.layout.format.LatexToUnicodeFormatterTest.testIWithDiaresisAndUnnecessaryBraces()",0,1,1,1
"org.jabref.logic.layout.format.LatexToUnicodeFormatterTest.testPlainFormat()",0,1,1,1
"org.jabref.logic.layout.format.LatexToUnicodeFormatterTest.testPolishName()",0,1,1,1
"org.jabref.logic.layout.format.LatexToUnicodeFormatterTest.testPreservationOfSingleUnderscore()",0,1,1,1
"org.jabref.logic.layout.format.LatexToUnicodeFormatterTest.testSWithCaron()",0,1,1,1
"org.jabref.logic.layout.format.LatexToUnicodeFormatterTest.testTildeN()",0,1,1,1
"org.jabref.logic.layout.format.LatexToUnicodeFormatterTest.testUpperCaseIWithDiaresis()",0,1,1,1
"org.jabref.logic.layout.format.MarkdownFormatter.MarkdownFormatter()",0,1,1,1
"org.jabref.logic.layout.format.MarkdownFormatter.format(String)",0,1,1,1
"org.jabref.logic.layout.format.MarkdownFormatterTest.formatWhenFormattingComplexMarkupThenReturnsOnlyOneLine()",0,1,1,1
"org.jabref.logic.layout.format.MarkdownFormatterTest.formatWhenFormattingEmptyStringThenReturnsEmptyString()",0,1,1,1
"org.jabref.logic.layout.format.MarkdownFormatterTest.formatWhenFormattingNullThenThrowsException()",0,1,1,1
"org.jabref.logic.layout.format.MarkdownFormatterTest.formatWhenFormattingPlainTextThenReturnsTextWrappedInParagraph()",0,1,1,1
"org.jabref.logic.layout.format.MarkdownFormatterTest.formatWhenMarkupContainingStrikethroughThenContainsMatchingDel()",0,1,1,1
"org.jabref.logic.layout.format.MarkdownFormatterTest.formatWhenMarkupContainingTaskListThenContainsFormattedTaskList()",0,1,1,1
"org.jabref.logic.layout.format.MarkdownFormatterTest.setUp()",0,1,1,1
"org.jabref.logic.layout.format.NameFormatter.format(String)",0,1,1,1
"org.jabref.logic.layout.format.NameFormatter.format(String,AuthorList,String[])",29,5,6,10
"org.jabref.logic.layout.format.NameFormatter.format(String,String)",12,5,5,7
"org.jabref.logic.layout.format.NameFormatter.getNameFormatters(NameFormatterPreferences)",4,1,3,3
"org.jabref.logic.layout.format.NameFormatter.setParameter(String)",0,1,1,1
"org.jabref.logic.layout.format.NameFormatterPreferences.NameFormatterPreferences(List<String>,List<String>)",0,1,1,1
"org.jabref.logic.layout.format.NameFormatterPreferences.getNameFormatterKey()",0,1,1,1
"org.jabref.logic.layout.format.NameFormatterPreferences.getNameFormatterValue()",0,1,1,1
"org.jabref.logic.layout.format.NameFormatterTest.testFormat()",0,1,1,1
"org.jabref.logic.layout.format.NameFormatterTest.testFormatStringStringBibtexEntry()",0,1,1,1
"org.jabref.logic.layout.format.NoSpaceBetweenAbbreviations.format(String)",0,1,1,1
"org.jabref.logic.layout.format.NoSpaceBetweenAbbreviationsTest.formatAbbreviations(String,String)",0,1,1,1
"org.jabref.logic.layout.format.NoSpaceBetweenAbbreviationsTest.provideAbbreviations()",0,1,1,1
"org.jabref.logic.layout.format.NotFoundFormatter.NotFoundFormatter(String)",0,1,1,1
"org.jabref.logic.layout.format.NotFoundFormatter.format(String)",0,1,1,1
"org.jabref.logic.layout.format.NotFoundFormatter.getNotFound()",0,1,1,1
"org.jabref.logic.layout.format.Number.format(String)",0,1,1,1
"org.jabref.logic.layout.format.Number.setArgument(String)",0,1,1,1
"org.jabref.logic.layout.format.Ordinal.format(String)",4,2,2,6
"org.jabref.logic.layout.format.OrdinalTest.testAlreadyOrdinals()",0,1,1,1
"org.jabref.logic.layout.format.OrdinalTest.testEmpty()",0,1,1,1
"org.jabref.logic.layout.format.OrdinalTest.testFullSentence()",0,1,1,1
"org.jabref.logic.layout.format.OrdinalTest.testLetters()",0,1,1,1
"org.jabref.logic.layout.format.OrdinalTest.testMultiDigits()",0,1,1,1
"org.jabref.logic.layout.format.OrdinalTest.testNull()",0,1,1,1
"org.jabref.logic.layout.format.OrdinalTest.testSingleDigit()",0,1,1,1
"org.jabref.logic.layout.format.RTFChars.format(String)",85,7,31,38
"org.jabref.logic.layout.format.RTFChars.getPart(String,int,boolean)",8,3,3,7
"org.jabref.logic.layout.format.RTFChars.transformSpecialCharacter(long)",88,46,1,148
"org.jabref.logic.layout.format.RTFCharsTest.setUp()",0,1,1,1
"org.jabref.logic.layout.format.RTFCharsTest.tearDown()",0,1,1,1
"org.jabref.logic.layout.format.RTFCharsTest.testBasicFormat()",0,1,1,1
"org.jabref.logic.layout.format.RTFCharsTest.testComplicated()",0,1,1,1
"org.jabref.logic.layout.format.RTFCharsTest.testComplicated2()",0,1,1,1
"org.jabref.logic.layout.format.RTFCharsTest.testComplicated3()",0,1,1,1
"org.jabref.logic.layout.format.RTFCharsTest.testComplicated4()",0,1,1,1
"org.jabref.logic.layout.format.RTFCharsTest.testComplicated5()",0,1,1,1
"org.jabref.logic.layout.format.RTFCharsTest.testComplicated6()",0,1,1,1
"org.jabref.logic.layout.format.RTFCharsTest.testLaTeXHighlighting()",0,1,1,1
"org.jabref.logic.layout.format.RTFCharsTest.testMoreSpecialCharacters(String,String)",0,1,1,1
"org.jabref.logic.layout.format.RTFCharsTest.testRTFCharacters()",0,1,1,1
"org.jabref.logic.layout.format.RTFCharsTest.testRTFCharactersCapital()",0,1,1,1
"org.jabref.logic.layout.format.RTFCharsTest.testSpecialCharacters()",0,1,1,1
"org.jabref.logic.layout.format.RemoveBrackets.format(String)",4,1,3,4
"org.jabref.logic.layout.format.RemoveBracketsAddComma.format(String)",4,1,4,4
"org.jabref.logic.layout.format.RemoveBracketsAddCommaTest.formatTextWithBrackets(String,String)",0,1,1,1
"org.jabref.logic.layout.format.RemoveBracketsAddCommaTest.provideExamples()",0,1,1,1
"org.jabref.logic.layout.format.RemoveBracketsAddCommaTest.setUp()",0,1,1,1
"org.jabref.logic.layout.format.RemoveBracketsTest.bracePairCorrectlyRemoved()",0,1,1,1
"org.jabref.logic.layout.format.RemoveBracketsTest.bracePairWithEscapedBackslashCorrectlyRemoved()",0,1,1,1
"org.jabref.logic.layout.format.RemoveBracketsTest.setUp()",0,1,1,1
"org.jabref.logic.layout.format.RemoveBracketsTest.singleClosingBraceCorrectlyRemoved()",0,1,1,1
"org.jabref.logic.layout.format.RemoveBracketsTest.singleOpeningBraceCorrectlyRemoved()",0,1,1,1
"org.jabref.logic.layout.format.RemoveBracketsTest.withoutBracketsUnmodified()",0,1,1,1
"org.jabref.logic.layout.format.RemoveLatexCommandsFormatter.format(String)",46,1,18,23
"org.jabref.logic.layout.format.RemoveLatexCommandsFormatterTest.escapedBackslashBecomesBackslash()",0,1,1,1
"org.jabref.logic.layout.format.RemoveLatexCommandsFormatterTest.escapedBackslashFollowedByTextBecomesBackslashFollowedByText()",0,1,1,1
"org.jabref.logic.layout.format.RemoveLatexCommandsFormatterTest.escapedBackslashKept()",0,1,1,1
"org.jabref.logic.layout.format.RemoveLatexCommandsFormatterTest.escapedUnderscoreReplaces()",0,1,1,1
"org.jabref.logic.layout.format.RemoveLatexCommandsFormatterTest.exampleUrlCorrectlyCleaned()",0,1,1,1
"org.jabref.logic.layout.format.RemoveLatexCommandsFormatterTest.multipleSpacesAfterCommandRemoved()",0,1,1,1
"org.jabref.logic.layout.format.RemoveLatexCommandsFormatterTest.setUp()",0,1,1,1
"org.jabref.logic.layout.format.RemoveLatexCommandsFormatterTest.singleCommandWiped()",0,1,1,1
"org.jabref.logic.layout.format.RemoveLatexCommandsFormatterTest.singleSpaceAfterCommandRemoved()",0,1,1,1
"org.jabref.logic.layout.format.RemoveLatexCommandsFormatterTest.withoutLatexCommandsUnmodified()",0,1,1,1
"org.jabref.logic.layout.format.RemoveTilde.format(String)",8,1,4,5
"org.jabref.logic.layout.format.RemoveTildeTest.formatText(String,String)",0,1,1,1
"org.jabref.logic.layout.format.RemoveTildeTest.provideArguments()",0,1,1,1
"org.jabref.logic.layout.format.RemoveTildeTest.setUp()",0,1,1,1
"org.jabref.logic.layout.format.RemoveWhitespace.format(String)",5,2,4,5
"org.jabref.logic.layout.format.RemoveWhitespaceTest.testEmptyExpectEmpty()",0,1,1,1
"org.jabref.logic.layout.format.RemoveWhitespaceTest.testNewLineCombo()",0,1,1,1
"org.jabref.logic.layout.format.RemoveWhitespaceTest.testNormal()",0,1,1,1
"org.jabref.logic.layout.format.RemoveWhitespaceTest.testNullExpectNull()",0,1,1,1
"org.jabref.logic.layout.format.RemoveWhitespaceTest.testTab()",0,1,1,1
"org.jabref.logic.layout.format.Replace.format(String)",2,2,1,3
"org.jabref.logic.layout.format.Replace.setArgument(String)",1,2,1,2
"org.jabref.logic.layout.format.ReplaceTest.testFormatEmpty()",0,1,1,1
"org.jabref.logic.layout.format.ReplaceTest.testFormatNull()",0,1,1,1
"org.jabref.logic.layout.format.ReplaceTest.testNoArgumentSet()",0,1,1,1
"org.jabref.logic.layout.format.ReplaceTest.testNoProperArgument()",0,1,1,1
"org.jabref.logic.layout.format.ReplaceTest.testSimpleText()",0,1,1,1
"org.jabref.logic.layout.format.ReplaceTest.testSimpleTextNoHit()",0,1,1,1
"org.jabref.logic.layout.format.ReplaceUnicodeLigaturesFormatter.ReplaceUnicodeLigaturesFormatter()",1,1,2,2
"org.jabref.logic.layout.format.ReplaceUnicodeLigaturesFormatter.format(String)",1,1,2,2
"org.jabref.logic.layout.format.ReplaceUnicodeLigaturesFormatter.getDescription()",0,1,1,1
"org.jabref.logic.layout.format.ReplaceUnicodeLigaturesFormatter.getExampleInput()",0,1,1,1
"org.jabref.logic.layout.format.ReplaceUnicodeLigaturesFormatter.getKey()",0,1,1,1
"org.jabref.logic.layout.format.ReplaceUnicodeLigaturesFormatter.getName()",0,1,1,1
"org.jabref.logic.layout.format.ReplaceUnicodeLigaturesFormatterTest.setUp()",0,1,1,1
"org.jabref.logic.layout.format.ReplaceUnicodeLigaturesFormatterTest.testLigatureSequence()",0,1,1,1
"org.jabref.logic.layout.format.ReplaceUnicodeLigaturesFormatterTest.testPlainFormat()",0,1,1,1
"org.jabref.logic.layout.format.ReplaceUnicodeLigaturesFormatterTest.testSampleInput()",0,1,1,1
"org.jabref.logic.layout.format.ReplaceUnicodeLigaturesFormatterTest.testSingleLigatures()",0,1,1,1
"org.jabref.logic.layout.format.RisAuthors.format(String)",4,2,3,4
"org.jabref.logic.layout.format.RisAuthors.setArgument(String)",0,1,1,1
"org.jabref.logic.layout.format.RisKeywords.format(String)",4,2,3,4
"org.jabref.logic.layout.format.RisKeywordsTest.testEmpty()",0,1,1,1
"org.jabref.logic.layout.format.RisKeywordsTest.testMultipleKeywords()",0,1,1,1
"org.jabref.logic.layout.format.RisKeywordsTest.testNull()",0,1,1,1
"org.jabref.logic.layout.format.RisKeywordsTest.testSingleKeyword()",0,1,1,1
"org.jabref.logic.layout.format.RisKeywordsTest.testTwoKeywords()",0,1,1,1
"org.jabref.logic.layout.format.RisMonth.format(String)",1,2,1,2
"org.jabref.logic.layout.format.RisMonthTest.testEmpty()",0,1,1,1
"org.jabref.logic.layout.format.RisMonthTest.testInvalidMonth()",0,1,1,1
"org.jabref.logic.layout.format.RisMonthTest.testNull()",0,1,1,1
"org.jabref.logic.layout.format.RisMonthTest.testValidMonth(String,String)",0,1,1,1
"org.jabref.logic.layout.format.ShortMonthFormatter.format(String)",0,1,1,1
"org.jabref.logic.layout.format.ShortMonthFormatterTest.formatDifferentInputs(String,String)",0,1,1,1
"org.jabref.logic.layout.format.ShortMonthFormatterTest.formatNullInput()",0,1,1,1
"org.jabref.logic.layout.format.ShortMonthFormatterTest.provideArguments()",0,1,1,1
"org.jabref.logic.layout.format.ShortMonthFormatterTest.setUp()",0,1,1,1
"org.jabref.logic.layout.format.ToLowerCase.format(String)",1,2,1,2
"org.jabref.logic.layout.format.ToLowerCaseTest.provideArguments()",0,1,1,1
"org.jabref.logic.layout.format.ToLowerCaseTest.testNull()",0,1,1,1
"org.jabref.logic.layout.format.ToLowerCaseTest.toLowerCaseWithDifferentInputs(String,String)",0,1,1,1
"org.jabref.logic.layout.format.ToUpperCase.format(String)",1,2,1,2
"org.jabref.logic.layout.format.ToUpperCaseTest.toUpperCaseTests()",0,1,1,1
"org.jabref.logic.layout.format.ToUpperCaseTest.toUpperCaseTests(String,String)",0,1,1,1
"org.jabref.logic.layout.format.WrapContent.format(String)",4,4,1,4
"org.jabref.logic.layout.format.WrapContent.setArgument(String)",1,2,1,2
"org.jabref.logic.layout.format.WrapContentTest.formatContent(String,String,String)",1,1,2,2
"org.jabref.logic.layout.format.WrapContentTest.provideContent()",0,1,1,1
"org.jabref.logic.layout.format.WrapFileLinks.FormatEntry.FormatEntry(String)",0,1,1,1
"org.jabref.logic.layout.format.WrapFileLinks.FormatEntry.FormatEntry(int)",0,1,1,1
"org.jabref.logic.layout.format.WrapFileLinks.FormatEntry.getString()",0,1,1,1
"org.jabref.logic.layout.format.WrapFileLinks.FormatEntry.getType()",0,1,1,1
"org.jabref.logic.layout.format.WrapFileLinks.WrapFileLinks(FileLinkPreferences)",0,1,1,1
"org.jabref.logic.layout.format.WrapFileLinks.format(String)",19,2,7,15
"org.jabref.logic.layout.format.WrapFileLinks.parseFormatString(String)",18,1,8,8
"org.jabref.logic.layout.format.WrapFileLinks.replaceStrings(String)",1,1,2,2
"org.jabref.logic.layout.format.WrapFileLinks.setArgument(String)",5,1,5,5
"org.jabref.logic.layout.format.WrapFileLinksTest.setUp()",0,1,1,1
"org.jabref.logic.layout.format.WrapFileLinksTest.testDescription()",0,1,1,1
"org.jabref.logic.layout.format.WrapFileLinksTest.testDescriptionNoDescription()",0,1,1,1
"org.jabref.logic.layout.format.WrapFileLinksTest.testEmpty()",0,1,1,1
"org.jabref.logic.layout.format.WrapFileLinksTest.testEndingBracket()",0,1,1,1
"org.jabref.logic.layout.format.WrapFileLinksTest.testFileExtension()",0,1,1,1
"org.jabref.logic.layout.format.WrapFileLinksTest.testFileExtensionNoExtension()",0,1,1,1
"org.jabref.logic.layout.format.WrapFileLinksTest.testIterator()",0,1,1,1
"org.jabref.logic.layout.format.WrapFileLinksTest.testIteratorTwoItems()",0,1,1,1
"org.jabref.logic.layout.format.WrapFileLinksTest.testNoFormatSetNonEmptyString()",0,1,1,1
"org.jabref.logic.layout.format.WrapFileLinksTest.testNull()",0,1,1,1
"org.jabref.logic.layout.format.WrapFileLinksTest.testPath()",0,1,1,1
"org.jabref.logic.layout.format.WrapFileLinksTest.testPathFallBackToGeneratedDir()",0,1,1,1
"org.jabref.logic.layout.format.WrapFileLinksTest.testPathReturnsRelativePathIfNotFound()",0,1,1,1
"org.jabref.logic.layout.format.WrapFileLinksTest.testPlainTextString()",0,1,1,1
"org.jabref.logic.layout.format.WrapFileLinksTest.testRelativePath()",0,1,1,1
"org.jabref.logic.layout.format.WrapFileLinksTest.testType()",0,1,1,1
"org.jabref.logic.layout.format.WrapFileLinksTest.testTypeNoType()",0,1,1,1
"org.jabref.logic.layout.format.XMLChars.firstFormat(String)",0,1,1,1
"org.jabref.logic.layout.format.XMLChars.format(String)",4,2,3,4
"org.jabref.logic.layout.format.XMLChars.removeLatexCommands(String)",0,1,1,1
"org.jabref.logic.layout.format.XMLChars.restFormat(String)",14,1,6,10
"org.jabref.logic.logging.JabRefLogger.JabRefLogger()",0,1,1,1
"org.jabref.logic.logging.JabRefLogger.setDebug()",0,1,1,1
"org.jabref.logic.logging.JabRefLogger.setLogLevelToDebugForJabRefClasses()",0,1,1,1
"org.jabref.logic.logging.LogMessages.LogMessages()",0,1,1,1
"org.jabref.logic.logging.LogMessages.add(LogEvent)",0,1,1,1
"org.jabref.logic.logging.LogMessages.clear()",0,1,1,1
"org.jabref.logic.logging.LogMessages.getInstance()",0,1,1,1
"org.jabref.logic.logging.LogMessages.getMessages()",0,1,1,1
"org.jabref.logic.msbib.BibTeXConverter.BibTeXConverter()",0,1,1,1
"org.jabref.logic.msbib.BibTeXConverter.addAuthor(Map<Field, String>,Field,List<MsBibAuthor>)",1,2,1,2
"org.jabref.logic.msbib.BibTeXConverter.convert(MSBibEntry)",12,1,12,12
"org.jabref.logic.msbib.BibTeXConverter.parseSingleStandardNumber(String,Field,String,Map<Field, String>)",1,1,2,2
"org.jabref.logic.msbib.BibTeXConverter.parseStandardNumber(String,Map<Field, String>)",1,2,1,2
"org.jabref.logic.msbib.MSBibConverter.MSBibConverter()",0,1,1,1
"org.jabref.logic.msbib.MSBibConverter.convert(BibEntry)",21,1,17,19
"org.jabref.logic.msbib.MSBibConverter.getAuthors(BibEntry,String,Field)",4,1,3,5
"org.jabref.logic.msbib.MSBibDatabase.MSBibDatabase()",0,1,1,1
"org.jabref.logic.msbib.MSBibDatabase.MSBibDatabase(BibDatabase,List<BibEntry>)",2,1,2,2
"org.jabref.logic.msbib.MSBibDatabase.addEntriesForExport(List<BibEntry>)",1,1,2,2
"org.jabref.logic.msbib.MSBibDatabase.getDomForExport()",2,1,3,3
"org.jabref.logic.msbib.MSBibDatabase.importEntriesFromXml(BufferedReader)",4,2,4,5
"org.jabref.logic.msbib.MSBibEntry.MSBibEntry()",0,1,1,1
"org.jabref.logic.msbib.MSBibEntry.MSBibEntry(Element)",0,1,1,1
"org.jabref.logic.msbib.MSBibEntry.addAddress(Document,Element,String)",4,2,4,5
"org.jabref.logic.msbib.MSBibEntry.addAuthor(Document,Element,String,List<MsBibAuthor>)",5,2,3,4
"org.jabref.logic.msbib.MSBibEntry.addDateAcessedFields(Document,Element)",0,1,1,1
"org.jabref.logic.msbib.MSBibEntry.addField(Document,Element,String,String)",1,2,1,2
"org.jabref.logic.msbib.MSBibEntry.getAuthors(Element)",0,1,1,1
"org.jabref.logic.msbib.MSBibEntry.getCiteKey()",0,1,1,1
"org.jabref.logic.msbib.MSBibEntry.getEntryDom(Document)",2,1,3,3
"org.jabref.logic.msbib.MSBibEntry.getSpecificAuthors(String,Element)",12,4,6,9
"org.jabref.logic.msbib.MSBibEntry.getType()",0,1,1,1
"org.jabref.logic.msbib.MSBibEntry.getXmlElementTextContent(String,Element)",1,1,2,2
"org.jabref.logic.msbib.MSBibEntry.populateFromXml(Element)",18,1,13,16
"org.jabref.logic.msbib.MSBibMapping.MSBibMapping()",0,1,1,1
"org.jabref.logic.msbib.MSBibMapping.getBibTeXField(String)",0,1,1,1
"org.jabref.logic.msbib.MSBibMapping.getBiblatexEntryType(String)",0,1,1,1
"org.jabref.logic.msbib.MSBibMapping.getLCID(String)",0,1,1,1
"org.jabref.logic.msbib.MSBibMapping.getLanguage(int)",0,1,1,1
"org.jabref.logic.msbib.MSBibMapping.getMSBibEntryType(EntryType)",0,1,1,1
"org.jabref.logic.msbib.MSBibMapping.getMSBibField(Field)",0,1,1,1
"org.jabref.logic.msbib.MsBibAuthor.MsBibAuthor(Author)",2,1,2,2
"org.jabref.logic.msbib.MsBibAuthor.MsBibAuthor(Author,boolean)",0,1,1,1
"org.jabref.logic.msbib.MsBibAuthor.getFirstLast()",0,1,1,1
"org.jabref.logic.msbib.MsBibAuthor.getFirstName()",1,2,1,2
"org.jabref.logic.msbib.MsBibAuthor.getLastFirst()",0,1,1,1
"org.jabref.logic.msbib.MsBibAuthor.getLastName()",0,1,1,1
"org.jabref.logic.msbib.MsBibAuthor.getMiddleName()",1,2,1,2
"org.jabref.logic.msbib.MsBibAuthor.isCorporate()",0,1,1,1
"org.jabref.logic.msbib.MsBibAuthorTest.testGetFirstName()",0,1,1,1
"org.jabref.logic.msbib.MsBibAuthorTest.testGetLastName()",0,1,1,1
"org.jabref.logic.msbib.MsBibAuthorTest.testGetMiddleName()",0,1,1,1
"org.jabref.logic.msbib.MsBibAuthorTest.testGetNoFirstName()",0,1,1,1
"org.jabref.logic.msbib.MsBibAuthorTest.testGetNoMiddleName()",0,1,1,1
"org.jabref.logic.msbib.MsBibAuthorTest.testGetVonAndLastName()",0,1,1,1
"org.jabref.logic.msbib.PageNumbers.PageNumbers(String)",0,1,1,1
"org.jabref.logic.msbib.PageNumbers.getDOMrepresentation(Document)",2,1,2,2
"org.jabref.logic.msbib.PageNumbers.parsePageNums(String)",2,1,2,2
"org.jabref.logic.msbib.PageNumbers.toString()",0,1,1,1
"org.jabref.logic.msbib.PageNumbers.toString(String)",1,2,1,2
"org.jabref.logic.net.ProgressInputStream.ProgressInputStream(InputStream,long)",1,1,1,2
"org.jabref.logic.net.ProgressInputStream.getMaxNumBytes()",0,1,1,1
"org.jabref.logic.net.ProgressInputStream.getProgress()",0,1,1,1
"org.jabref.logic.net.ProgressInputStream.getTotalNumBytesRead()",0,1,1,1
"org.jabref.logic.net.ProgressInputStream.mark(int)",0,1,1,1
"org.jabref.logic.net.ProgressInputStream.markSupported()",0,1,1,1
"org.jabref.logic.net.ProgressInputStream.progressProperty()",0,1,1,1
"org.jabref.logic.net.ProgressInputStream.read()",0,1,1,1
"org.jabref.logic.net.ProgressInputStream.read(byte[],int,int)",0,1,1,1
"org.jabref.logic.net.ProgressInputStream.reset()",0,1,1,1
"org.jabref.logic.net.ProgressInputStream.skip(long)",0,1,1,1
"org.jabref.logic.net.ProgressInputStream.totalNumBytesReadProperty()",0,1,1,1
"org.jabref.logic.net.ProgressInputStream.updateProgress(long)",1,1,2,2
"org.jabref.logic.net.ProxyAuthenticator.getPasswordAuthentication()",4,3,4,4
"org.jabref.logic.net.ProxyPreferences.ProxyPreferences(Boolean,String,String,Boolean,String,String)",0,1,1,1
"org.jabref.logic.net.ProxyPreferences.equals(Object)",4,3,7,9
"org.jabref.logic.net.ProxyPreferences.getHostname()",0,1,1,1
"org.jabref.logic.net.ProxyPreferences.getPassword()",0,1,1,1
"org.jabref.logic.net.ProxyPreferences.getPort()",0,1,1,1
"org.jabref.logic.net.ProxyPreferences.getUsername()",0,1,1,1
"org.jabref.logic.net.ProxyPreferences.hashCode()",0,1,1,1
"org.jabref.logic.net.ProxyPreferences.hostnameProperty()",0,1,1,1
"org.jabref.logic.net.ProxyPreferences.passwordProperty()",0,1,1,1
"org.jabref.logic.net.ProxyPreferences.portProperty()",0,1,1,1
"org.jabref.logic.net.ProxyPreferences.setHostname(String)",0,1,1,1
"org.jabref.logic.net.ProxyPreferences.setPassword(String)",0,1,1,1
"org.jabref.logic.net.ProxyPreferences.setPort(String)",0,1,1,1
"org.jabref.logic.net.ProxyPreferences.setUseAuthentication(boolean)",0,1,1,1
"org.jabref.logic.net.ProxyPreferences.setUseProxy(boolean)",0,1,1,1
"org.jabref.logic.net.ProxyPreferences.setUsername(String)",0,1,1,1
"org.jabref.logic.net.ProxyPreferences.shouldUseAuthentication()",0,1,1,1
"org.jabref.logic.net.ProxyPreferences.shouldUseProxy()",0,1,1,1
"org.jabref.logic.net.ProxyPreferences.useAuthenticationProperty()",0,1,1,1
"org.jabref.logic.net.ProxyPreferences.useProxyProperty()",0,1,1,1
"org.jabref.logic.net.ProxyPreferences.usernameProperty()",0,1,1,1
"org.jabref.logic.net.ProxyRegisterer.ProxyRegisterer()",0,1,1,1
"org.jabref.logic.net.ProxyRegisterer.register(ProxyPreferences)",4,1,3,3
"org.jabref.logic.net.URLDownload.URLDownload(String)",0,1,1,1
"org.jabref.logic.net.URLDownload.URLDownload(URL)",0,1,1,1
"org.jabref.logic.net.URLDownload.addHeader(String,String)",0,1,1,1
"org.jabref.logic.net.URLDownload.asInputStream()",2,2,3,3
"org.jabref.logic.net.URLDownload.asString()",0,1,1,1
"org.jabref.logic.net.URLDownload.asString(Charset)",0,1,1,1
"org.jabref.logic.net.URLDownload.bypassSSLVerification()",1,1,2,2
"org.jabref.logic.net.URLDownload.canBeReached()",1,1,1,2
"org.jabref.logic.net.URLDownload.copy(InputStream,Writer,Charset)",1,1,2,2
"org.jabref.logic.net.URLDownload.getConnectTimeout()",0,1,1,1
"org.jabref.logic.net.URLDownload.getCookieFromUrl()",1,1,2,2
"org.jabref.logic.net.URLDownload.getMimeType()",9,4,7,10
"org.jabref.logic.net.URLDownload.getSource()",0,1,1,1
"org.jabref.logic.net.URLDownload.isMimeType(String)",1,2,1,2
"org.jabref.logic.net.URLDownload.isPdf()",0,1,1,1
"org.jabref.logic.net.URLDownload.openConnection()",9,1,6,8
"org.jabref.logic.net.URLDownload.setConnectTimeout(Duration)",1,1,1,2
"org.jabref.logic.net.URLDownload.setPostData(String)",1,1,1,2
"org.jabref.logic.net.URLDownload.setSSLVerification(SSLSocketFactory,HostnameVerifier)",1,1,2,2
"org.jabref.logic.net.URLDownload.toFile(Path)",1,1,2,2
"org.jabref.logic.net.URLDownload.toString()",0,1,1,1
"org.jabref.logic.net.URLDownload.toTemporaryFile()",0,1,1,1
"org.jabref.logic.net.URLDownloadTest.connectTimeoutIsNeverNull()",0,1,1,1
"org.jabref.logic.net.URLDownloadTest.downloadOfFTPSucceeds()",0,1,1,1
"org.jabref.logic.net.URLDownloadTest.downloadOfHttpSucceeds()",0,1,1,1
"org.jabref.logic.net.URLDownloadTest.downloadOfHttpsSucceeds()",0,1,1,1
